Event,Date,Location,Meta,EventType,Type,PlayFormat,Melee
Casual 2024-09-05,2024-09-05,Card Club Hockenheim,Set5,Casual,Constructed,TwoGameFormat,
Liga 2024-09-05,2024-09-05,Card Club Hockenheim,Set5,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/144080
Casual 2024-09-06,2024-09-06,Home,Set5,Casual,Constructed,BestOfThree,
Casual 2024-09-07,2024-09-07,Home,Set5,Casual,Constructed,BestOfThree,
Casual 2024-09-10,2024-09-10,Home,Set5,Casual,Constructed,BestOfThree,
Casual 2024-09-11,2024-09-11,Wizards Well,Set5,Casual,Constructed,BestOfThree,
Liga 2024-09-11,2024-09-11,Wizards Well,Set5,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/147792
Casual 2024-09-12,2024-09-12,Home,Set5,Casual,Constructed,BestOfThree,
Casual 2024-09-14,2024-09-14,Home,Set5,Casual,Constructed,TwoGameFormat,
Casual 2024-09-18,2024-09-18,Wizards Well,Set5,Casual,Constructed,BestOfThree,
Liga 2024-09-18,2024-09-18,Wizards Well,Set5,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/147834
Casual 2024-09-19,2024-09-19,Card Club Hockenheim,Set5,Casual,Constructed,BestOfThree,
Liga 2024-09-19,2024-09-19,Card Club Hockenheim,Set5,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/153246
Lorcana DLC Birmingham,2024-09-21,Birmingham,Set5,Disney Lorcana Challenge,Constructed,TwoGameFormat,https://melee.gg/Tournament/View/152670
Lorcana DLC Birmingham SideEvent,2024-09-22,Birmingham,Set5,Disney Lorcana Challenge Side,Constructed,TwoGameFormat,https://melee.gg/Tournament/View/148445
Casual 2024-09-26,2024-09-26,Card Club Hockenheim,Set5,Casual,Constructed,BestOfThree,
Liga 2024-09-26,2024-09-26,Card Club Hockenheim,Set5,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/157476
Casual 2024-09-28,2024-09-28,Home,Set5,Casual,Constructed,TwoGameFormat,
Casual 2024-09-30,2024-09-30,Home,Set5,Casual,Constructed,BestOfThree,
Casual 2024-10-01,2024-10-01,Home,Set5,Casual,Constructed,BestOfThree,
Casual 2024-10-02,2024-10-02,Wizards Well,Set5,Casual,Constructed,BestOfThree,
Liga 2024-10-02,2024-10-02,Wizards Well,Set5,Liga,Draft,BestOfThree,https://melee.gg/Tournament/View/147870
Casual 2024-10-03,2024-10-03,Home,Set5,Casual,Constructed,BestOfThree,
Card Club Shimmering Skies Set Championship,2024-10-05,Card Club Hockenheim,Set5,Set Championship,Constructed,BestOfThree,https://melee.gg/Tournament/View/146556
Casual 2024-10-08,2024-10-08,Home,Set5,Casual,Constructed,BestOfThree,
Casual 2024-10-09,2024-10-09,Wizards Well,Set5,Casual,Constructed,BestOfThree,
Liga 2024-10-09,2024-10-09,Wizards Well,Set5,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/147881
Casual 2024-10-10,2024-10-10,Card Club Hockenheim,Set5,Casual,Constructed,BestOfThree,
Liga 2024-10-10,2024-10-10,Card Club Hockenheim,Set5,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/165345
Neusser Shimmering Skies Set Championship,2024-10-12,Spielwaren Neusser,Set5,Set Championship,Constructed,TwoGameFormat,https://melee.gg/Tournament/View/148403
Casual 2024-10-15,2024-10-15,Home,Set5,Casual,Constructed,TwoGameFormat,
Casual 2024-10-16,2024-10-16,Home,Set5,Casual,Constructed,TwoGameFormat,
Liga 2024-10-16,2024-10-16,Wizards Well,Set5,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/147883
Casual 2024-10-17,2024-10-17,Card Club Hockenheim,Set5,Casual,Constructed,BestOfThree,
Casual 2024-10-18,2024-10-18,Home,Set5,Casual,Constructed,BestOfThree,
Spiele-Pyramide Shimmering Skies Set Championship,2024-10-19,Spiele-Pyramide,Set5,Set Championship,Constructed,BestOfThree,https://melee.gg/Tournament/View/153684
Casual 2024-10-20,2024-10-20,Wizards Well,Set5,Casual,Constructed,TwoGameFormat,
Wizards Shimmering Skies Set Championship,2024-10-20,Wizards Well,Set5,Set Championship,Constructed,BestOfThree,https://melee.gg/Tournament/View/147819
Casual 2024-10-23,2024-10-23,Wizards Well,Set5,Casual,Constructed,BestOfThree,
Liga 2024-10-23,2024-10-23,Wizards Well,Set5,Liga,Draft,BestOfThree,https://melee.gg/Tournament/View/147885
Casual 2024-10-24,2024-10-24,Home,Set5,Casual,Constructed,BestOfThree,
Casual 2024-10-25,2024-10-25,Home,Set5,Casual,Constructed,BestOfThree,
RB Store Shimmering Skies Set Championship,2024-10-26,Ravensburger Store Mannheim,Set5,Set Championship,Constructed,BestOfThree,https://melee.gg/Tournament/View/155157
Online 2024-11-05,2024-11-05,Home,Set6,Casual Online,Constructed,BestOfThree,
Online 2024-11-06,2024-11-06,Home,Set6,Casual Online,Constructed,BestOfThree,
Liga 2024-11-07,2024-11-07,Card Club Hockenheim,Set5,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/182713
Online 2024-11-07,2024-11-07,Home,Set6,Casual Online,Constructed,BestOfThree,
Azurite Seas Release,2024-11-16,Wizards Well,Set6,Liga,Sealed,BestOfThree,https://melee.gg/Tournament/View/175002
Online 2024-11-18,2024-11-18,Home,Set6,Casual Online,Constructed,BestOfThree,
Online 2024-11-19,2024-11-19,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2024-11-20,2024-11-20,Wizards Well,Set6,Casual,Constructed,BestOfThree,
Liga 2024-11-20,2024-11-20,Wizards Well,Set6,Liga,Draft,BestOfThree,https://melee.gg/Tournament/View/185592
Casual 2024-11-24,2024-11-24,Home,Set6,Casual,Constructed,TwoGameFormat,
Online 2024-11-25,2024-11-25,Home,Set6,Casual Online,Constructed,BestOfThree,
Online 2024-11-26,2024-11-26,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2024-11-26,2024-11-26,Home,Set6,Casual,Constructed,BestOfThree,
Casual 2024-11-27,2024-11-27,Wizards Well,Set6,Casual,Constructed,BestOfThree,
Liga 2024-11-27,2024-11-27,Wizards Well,Set6,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/185595
Casual 2024-11-28,2024-11-28,Card Club Hockenheim,Set6,Casual,Constructed,BestOfThree,
Liga 2024-11-28,2024-11-28,Card Club Hockenheim,Set6,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/199338
Liga 2024-11-29,2024-11-29,Ravensburger Store Mannheim,Set6,Liga,Constructed,BestOfThree,
Casual 2024-12-01,2024-12-01,Home,Set6,Casual,Constructed,TwoGameFormat,
Online 2024-12-01,2024-12-01,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2024-12-02,2024-12-02,Home,Set6,Casual,Constructed,BestOfThree,
Online 2024-12-02,2024-12-02,Home,Set6,Casual Online,Constructed,BestOfThree,
Online 2024-12-03,2024-12-03,Home,Set6,Casual Online,Constructed,BestOfThree,
EU Continentals LCQ,2024-12-06,Disneyland Paris,Set6,Disney Lorcana LCQ,Constructed,BestOfThree,https://melee.gg/Tournament/View/191914
Casual 2024-12-11,2024-12-11,Wizards Well,Set6,Casual,Constructed,BestOfThree,
Liga 2024-12-11,2024-12-11,Wizards Well,Set6,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/185600
Casual 2024-12-12,2024-12-12,Card Club Hockenheim,Set6,Casual,Constructed,BestOfThree,
Liga 2024-12-12,2024-12-12,Card Club Hockenheim,Set6,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/205352
Casual 2024-12-19,2024-12-19,Card Club Hockenheim,Set6,Casual,Constructed,BestOfThree,
Liga 2024-12-19,2024-12-19,Card Club Hockenheim,Set6,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/211538
Online 2024-12-15,2024-12-15,Home,Set6,Casual Online,Constructed,BestOfThree,
Online 2024-12-16,2024-12-16,Home,Set6,Casual Online,Constructed,BestOfThree,
Online 2024-12-17,2024-12-17,Home,Set6,Casual Online,Constructed,BestOfThree,
Online 2024-12-22,2024-12-22,Home,Set6,Casual Online,Constructed,BestOfThree,
Online 2024-12-26,2024-12-26,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2024-12-29,2024-12-29,Home,Set6,Casual,Constructed,BestOfThree,
Online 2024-12-30,2024-12-30,Home,Set6,Casual Online,Constructed,BestOfThree,
Online 2025-01-01,2025-01-01,Home,Set6,Casual Online,Constructed,BestOfThree,
Online 2025-01-02,2025-01-02,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2025-01-02,2025-01-02,Card Club Hockenheim,Set6,Casual,Constructed,BestOfThree,
Liga 2025-01-02,2025-01-02,Card Club Hockenheim,Set6,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/219362
Online 2025-01-03,2025-01-03,Home,Set6,Casual Online,Constructed,BestOfThree,
Liga 2025-01-03,2025-01-03,Ravensburger Store Mannheim,Set6,Liga,Constructed,BestOfThree,
Casual 2025-01-04,2025-01-04,Card Club Hockenheim,Set6,Casual,Constructed,BestOfThree,
Multivitamin 2025 NY,2025-01-05,Home,Set6,Competetive,Constructed,BestOfThree,https://melee.gg/Tournament/View/209645
Casual 2025-01-06,2025-01-06,Home,Set6,Casual,Constructed,BestOfThree,
Casual 2025-01-07,2025-01-07,Home,Set6,Casual,Constructed,BestOfThree,
Online 2025-01-08,2025-01-08,Home,Set6,Casual Online,Constructed,BestOfThree,
Casual 2025-01-08,2025-01-08,Wizards Well,Set6,Casual,Constructed,BestOfThree,
Liga 2025-01-08,2025-01-08,Wizards Well,Set6,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/223862
Casual 2025-01-09,2025-01-09,Card Club Hockenheim,Set6,Casual,Constructed,BestOfThree,
Liga 2025-01-09,2025-01-09,Card Club Hockenheim,Set6,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/224812
JK Jahresende 2024,2025-01-11,Maintal,Set6,Competetive,Constructed,BestOfThree,https://melee.gg/Tournament/View/226513
